,Delta (0.5–4 Hz),Theta (4–8 Hz),Alpha (8–13 Hz),Beta (13–30 Hz),Gamma (30-45 Hz)
Fp1,1.523322023565588e-09,2.296249204996759e-10,1.670396400905764e-10,4.0880935404111924e-11,1.0293495185299376e-11
Fp2,1.4892399929941379e-09,2.3003723229230184e-10,1.5350884229847e-10,3.821870077283934e-11,9.07698099884026e-12
F3,1.503479946048358e-09,1.8645147871557717e-10,1.1817432838129636e-10,3.9379962072100127e-11,1.0755654613713069e-11
F4,1.4909963097409124e-09,1.896133716701386e-10,9.846616202760902e-11,3.747991168319018e-11,8.768127272098434e-12
C3,1.4340362599931094e-09,1.4650881643572295e-10,8.38922381378081e-11,3.5215638277582625e-11,6.986018921874772e-12
C4,1.4381952841684366e-09,1.4837233052846304e-10,8.474725502980994e-11,3.434791248245776e-11,6.8888803883881854e-12
P3,1.5001952751654258e-09,2.0089563942721454e-10,1.4184630912720884e-10,4.140131496923732e-11,7.80775739312775e-12
P4,1.4621944368318489e-09,1.8763339536060663e-10,2.1766601713420853e-10,4.1403886326535196e-11,7.567976491727169e-12
O1,1.548700694988209e-09,2.6586057480498067e-10,2.3148464619973614e-10,4.4556851184745094e-11,8.219496418949417e-12
O2,1.5144057594811411e-09,2.485310131472702e-10,2.7026759077357497e-10,4.7255915614276654e-11,8.569884255064595e-12
F7,1.5546780137637513e-09,2.2645561368625101e-10,1.62955656092619e-10,4.1903599213633696e-11,9.962631284458623e-12
F8,1.5319136468759333e-09,2.3226688120689505e-10,1.5063672933159324e-10,4.159751429342093e-11,1.0555282896772274e-11
T3,1.509804905479687e-09,2.0464283623215854e-10,1.3561875415761098e-10,3.895221139966184e-11,8.141091001738495e-12
T4,1.4817980465418327e-09,1.976450654017028e-10,1.2353862292254754e-10,3.809165119754426e-11,9.36794866086819e-12
T5,1.5735529126845023e-09,3.0404546350369946e-10,2.72727016208677e-10,4.532170303035088e-11,9.500463647974726e-12
T6,1.5480746438244077e-09,2.8137756236360724e-10,4.3449458192551925e-10,4.6406459274394804e-11,8.588763655960211e-12
Fz,1.4826167312251371e-09,2.1347047175153255e-10,1.2858887598175089e-10,3.713028026948798e-11,8.278537138928598e-12
Cz,1.4610719844048773e-09,1.63302251561415e-10,7.3530282041668e-11,3.621262367650724e-11,8.224117972035934e-12
Pz,1.4548242056368128e-09,1.9383594112191063e-10,1.4694620624507466e-10,3.884243827508351e-11,7.624864904901377e-12
