,Delta (0.5-4 Hz),Theta (4-8 Hz),Alpha (8-13 Hz),Beta (13-30 Hz),Gamma (30-45 Hz)
Fp1,2.2499690929878973e-09,1.3313959538415617e-10,2.500610017829114e-10,5.424411176585685e-11,1.2964860725789003e-11
Fp2,2.221145614496412e-09,1.3064346478873756e-10,2.6270967190038247e-10,5.806547784028364e-11,1.1257356970890992e-11
F3,2.2482170001210717e-09,1.3330590030906917e-10,1.9033120963086134e-10,5.803741951105115e-11,1.3786364165577173e-11
F4,2.241254934970635e-09,1.3484541041291543e-10,1.8034478541514337e-10,7.349125527273109e-11,1.842726127028488e-11
C3,2.2197155168971717e-09,1.2592467416985923e-10,6.666602261356935e-11,4.9302859125358204e-11,9.425604099598241e-12
C4,2.200464581721919e-09,1.2499285672949293e-10,6.87455234726988e-11,5.1044387413757156e-11,9.742992806294944e-12
P3,2.230061474181615e-09,1.290684843925845e-10,2.775943102410629e-10,5.400020415225088e-11,1.0207737857086913e-11
P4,2.2049975339775762e-09,1.3091621382438012e-10,2.9513267750147096e-10,5.595714146616362e-11,1.2005693979919144e-11
O1,2.2348328131711203e-09,1.3580875520048186e-10,3.8294591171243637e-10,6.225255224650741e-11,1.5500036858754145e-11
O2,2.2500980256793677e-09,1.3498629540411426e-10,2.608111973250387e-10,5.7334345691572343e-11,1.6096334755749374e-11
F7,2.271707173344021e-09,1.421691525397763e-10,2.708152828987587e-10,7.106137926335767e-11,2.2766905346099586e-11
F8,2.240131645051417e-09,1.3202794145271665e-10,2.75871848117291e-10,5.393380905254369e-11,1.3111315055795142e-11
T3,2.271086644972704e-09,1.3530817489775314e-10,1.6786051962076855e-10,7.443990372111139e-11,3.399843683410055e-11
T4,2.2627626384825966e-09,1.3210143302590193e-10,1.6062308274219865e-10,5.996270717555319e-11,1.87065811350542e-11
T5,2.2316861976608133e-09,1.3550026634491383e-10,1.9766474710544032e-10,6.533650152433769e-11,1.7729500719726438e-11
T6,2.224342482060452e-09,1.3503927998086305e-10,2.092371065253246e-10,6.641337076934294e-11,1.7923706573645478e-11
Fz,2.244335690834902e-09,1.3467857118016894e-10,1.8822758069013235e-10,6.740141363839127e-11,1.2087447561508327e-11
Cz,2.210728212003997e-09,1.2632919738697697e-10,5.114084016165379e-11,4.5496283316296474e-11,8.54473117513239e-12
Pz,2.2064061490465677e-09,1.2625257974099868e-10,2.5104710843702706e-10,4.205225001060997e-11,8.728496298230681e-12
