,Delta (0.5-4 Hz),Theta (4-8 Hz),Alpha (8-13 Hz),Beta (13-30 Hz),Gamma (30-45 Hz)
Fp1,1.6377764070916166e-08,2.1247453716917866e-09,6.802880469056313e-10,7.777054348945564e-10,1.89521802224324e-10
Fp2,1.8623699017279775e-08,2.171826807774521e-09,7.350671622398337e-10,7.78150440941387e-10,1.8670089403526247e-10
F3,1.628633850127334e-08,2.1127288783987905e-09,6.670556110918968e-10,8.184217896700406e-10,2.1935839501209107e-10
F4,1.5964106226446156e-08,2.0989769556472274e-09,6.624046906199742e-10,8.202219717126433e-10,2.1202714224419285e-10
C3,1.6294065272208074e-08,2.0103828833893294e-09,5.989598212506015e-10,7.624730195710365e-10,2.0672038199220626e-10
C4,1.6244082388282268e-08,2.084208143775962e-09,6.046967559105241e-10,7.283962244034299e-10,2.0434152494053356e-10
P3,2.4505008933718378e-08,4.0324158922256756e-09,9.658930946318797e-10,1.0566468101539916e-09,2.421172108989295e-10
P4,2.2377106640468458e-08,6.289074408890863e-09,2.5500394982642288e-09,2.2901100403833406e-09,1.9010725700398875e-09
O1,4.659691627473252e-08,8.787601859960054e-09,5.895017310150418e-09,2.1078399187128413e-09,2.929817231988985e-09
O2,2.861851402169698e-08,3.6027128654724356e-09,1.2793433307641327e-09,1.1253972386220281e-09,3.2572612482549697e-10
F7,1.720198546642953e-08,2.2358033145514738e-09,7.546171484895316e-10,8.264512420830747e-10,1.9957671158721323e-10
F8,1.6519401033170935e-08,2.130707502353782e-09,6.924167006509023e-10,7.913365140948438e-10,2.0543790263475041e-10
T3,1.6624757113711404e-08,2.1494735932633695e-09,6.70362573976167e-10,8.027890533577241e-10,2.1858581423876242e-10
T4,1.7679727494150676e-08,2.315850451280903e-09,7.015054597014629e-10,7.800962019462522e-10,2.0443872416341341e-10
T5,1.1347255862017259e-07,9.468206166208003e-09,2.854530676872551e-09,1.844642719058029e-09,2.2915201043261174e-09
T6,1.6963503996860426e-08,2.1394563707120178e-09,7.112585743502374e-10,7.84814706644692e-10,1.9534177522678143e-10
Fz,1.6910040474888926e-08,2.2384627761739415e-09,6.653819797951862e-10,7.775713322844334e-10,1.9050104310613144e-10
Cz,1.8698205514222647e-08,2.1575082059165497e-09,6.423424971401525e-10,6.925037605185752e-10,1.6196835844800488e-10
Pz,1.884726082926087e-08,2.1001557866655005e-09,6.757141714280476e-10,7.559906069468072e-10,1.851447534920406e-10
