,Delta (0.5–4 Hz),Theta (4–8 Hz),Alpha (8–13 Hz),Beta (13–30 Hz),Gamma (30-45 Hz)
Fp1,3.987069007476227e-09,3.16767010523255e-10,1.1031551800840197e-10,7.413719911933707e-11,3.605928325674355e-11
Fp2,3.9088750602586405e-09,3.0765063206046155e-10,8.908844614159751e-11,5.465591750087516e-11,2.249645044579251e-11
F3,3.766005397087767e-09,2.963591655718005e-10,9.560948852888781e-11,5.171187401565535e-11,1.6882898625293112e-11
F4,4.098040687884772e-09,4.5058573155735175e-10,1.472256804179597e-10,8.83142182237125e-11,2.5940851215473092e-11
C3,3.6175369583656077e-09,3.0743172242568533e-10,6.904249372966641e-11,4.889065957541598e-11,1.3475228122751446e-11
C4,3.876586420785855e-09,3.7513100414154587e-10,8.650544698888912e-11,5.476123488448614e-11,1.484818030516104e-11
P3,3.752521792867804e-09,3.173729328360407e-10,1.6476099415504997e-10,5.8063917262591016e-11,1.4519738386924129e-11
P4,3.6862774055791424e-09,3.012876376154895e-10,1.5520264872628342e-10,5.861369537127266e-11,1.3555845163229085e-11
O1,4.197683731365059e-09,4.124945208124493e-10,4.566093061207849e-10,9.077608736271453e-11,2.0085259273709814e-11
O2,3.95125263804719e-09,3.2607348478003335e-10,4.5352628352081136e-10,9.391836591149399e-11,2.1794056284552928e-11
F7,3.9229272018131656e-09,3.0894987910055987e-10,1.236702834387901e-10,6.888696856248085e-11,3.1403787280087367e-11
F8,4.3454468482630625e-09,3.237117151712197e-10,1.2573920894798412e-10,7.172273458292228e-11,3.2262513305357675e-11
T3,3.727836166198574e-09,3.156555578386331e-10,1.5630086760587233e-10,8.183883631633797e-11,3.791119483808415e-11
T4,8.442193311806332e-09,1.940828615245942e-09,5.79191758867895e-10,2.6293499455536334e-10,1.0082567536703027e-10
T5,3.5190839463997744e-09,3.010193046308572e-10,2.8727298902756664e-10,7.462803316426004e-11,1.859924088050229e-11
T6,1.804312770546454e-08,1.4396506734272e-09,4.3866779119001214e-10,2.427109619150531e-10,5.133265621226521e-11
Fz,3.5580986110017374e-09,2.964508508348986e-10,8.778434676465975e-11,4.404586412354751e-11,1.2320897060990731e-11
Cz,3.6460338228229293e-09,3.000095232073262e-10,6.722517999984494e-11,4.400369822811111e-11,1.197561593723248e-11
Pz,3.4705325728371882e-09,2.621694515000722e-10,1.7996192375273759e-10,5.745842706447399e-11,1.4944728191581e-11
