,Delta (0.5–4 Hz),Theta (4–8 Hz),Alpha (8–13 Hz),Beta (13–30 Hz),Gamma (30-45 Hz)
Fp1,3.812320420525787e-09,2.965168092616858e-10,1.685256315282293e-10,8.766512516864656e-11,2.796957678292855e-11
Fp2,3.717438777090569e-09,2.9262381879160087e-10,1.6627828774855138e-10,8.210308138708396e-11,2.3413471459745418e-11
F3,3.6998639375007042e-09,2.860357844882112e-10,1.405126545230188e-10,8.646147692513686e-11,2.394316967575537e-11
F4,3.795884697856883e-09,3.561964108056001e-10,1.8152689054530741e-10,1.0164221639567795e-10,2.94000984054714e-11
C3,3.608308246569171e-09,2.84642073757565e-10,1.1046687137981298e-10,7.553435795052397e-11,1.9149947796553564e-11
C4,3.688803957788104e-09,3.1363618883766204e-10,1.1627213164512578e-10,7.797466582404676e-11,1.9401351551700146e-11
P3,3.864263295418585e-09,3.112188289054971e-10,2.550498948446338e-10,9.183805719467959e-11,2.174645911623411e-11
P4,4.977485780836909e-09,3.2378052064502607e-10,2.0242369616590932e-10,8.792622333778553e-11,1.9609726128820392e-11
O1,4.5343415562177495e-09,5.31096715306067e-10,5.458063687170618e-10,1.1563885079186135e-10,3.862103454876161e-11
O2,4.9784059941992946e-09,3.503075827470776e-10,4.839146140764384e-10,1.308538821834956e-10,4.9856468706443404e-11
F7,3.7721453007755106e-09,2.926478321711885e-10,1.6690322996991749e-10,9.407800328097678e-11,3.266061212242793e-11
F8,3.877927503668961e-09,3.013591533753575e-10,1.8036061193304914e-10,9.396503695696488e-11,3.0702567100203784e-11
T3,3.6676909243539972e-09,3.1431778555526284e-10,2.139530793654958e-10,1.1822860112628112e-10,4.9175005221032376e-11
T4,8.126133543518677e-09,9.989384534817297e-10,3.5960476033572613e-10,1.7259445899176892e-10,6.189842325098067e-11
T5,4.9597916356178835e-09,3.6441490806114933e-10,3.8081280373901515e-10,1.1413614433827782e-10,2.922241119424814e-11
T6,1.2708875296373966e-08,8.222457825404687e-10,4.5172152218122437e-10,1.738870829297713e-10,5.175226263420071e-11
Fz,3.6260489938572745e-09,2.9366581443756847e-10,1.5624305164977377e-10,8.36780515282075e-11,2.0751631983304472e-11
Cz,3.790916496876463e-09,2.8666117664299616e-10,1.0096831076739009e-10,7.294588897938558e-11,1.770868119139126e-11
Pz,4.009844234209384e-09,3.2425410991511255e-10,2.732022688527669e-10,8.305399672702306e-11,2.108765240692639e-11
