,Delta (0.5–4 Hz),Theta (4–8 Hz),Alpha (8–13 Hz),Beta (13–30 Hz),Gamma (30-45 Hz)
Fp1,2.653566621835103e-09,2.650180541666288e-10,2.0402901488964343e-10,7.942693505194474e-11,2.156277803208341e-11
Fp2,2.5060233256282555e-09,2.5378517895719775e-10,1.9635579149820136e-10,6.477209959855016e-11,1.3151044077305926e-11
F3,2.4830295282909237e-09,2.356635092560765e-10,1.3271658794247807e-10,6.501134373118169e-11,1.3900293504703317e-11
F4,2.5141147564342376e-09,2.4371627367099007e-10,1.4787737246947553e-10,5.769559320231701e-11,1.3456624438862222e-11
C3,2.4370681630008973e-09,2.1527826950039162e-10,8.901346328286732e-11,4.99245371839984e-11,1.0221906018715367e-11
C4,2.4642411790448637e-09,2.310669357642348e-10,9.401276002512571e-11,5.388614255420053e-11,1.1282969486602901e-11
P3,2.525210578314405e-09,2.726022538115375e-10,3.483978376344028e-10,6.22131662152241e-11,1.2895420706767105e-11
P4,2.511334420745744e-09,2.5533930959805593e-10,2.1909312453710193e-10,6.245936544126402e-11,1.1615402448270974e-11
O1,2.4734155773296166e-09,3.1729083077461486e-10,6.218538712614894e-10,7.104338113215978e-11,1.761789190559878e-11
O2,2.5054943962480166e-09,3.0179332476806747e-10,5.34191274231815e-10,7.199232874136126e-11,1.4174367448958469e-11
F7,2.6084365016644167e-09,2.5888266594363236e-10,1.621343856116963e-10,7.3784489192384e-11,2.357862533440729e-11
F8,2.5700741996041015e-09,2.601238442942908e-10,1.8756167601419812e-10,6.875868566520779e-11,1.5490786235160098e-11
T3,2.545402531652756e-09,2.5217682707448566e-10,1.3052870740782217e-10,7.253358576649938e-11,2.3836532490836758e-11
T4,2.5716638565187442e-09,2.517719654769976e-10,1.4124611478229246e-10,6.876975945970848e-11,1.8085810714879975e-11
T5,7.80589737315477e-09,4.279564881451779e-10,4.544442402496093e-10,9.351376189548221e-11,1.9644168000878186e-11
T6,2.534650743784236e-09,2.8302066983909926e-10,3.027583320721688e-10,7.4287994477901e-11,1.412427066021557e-11
Fz,2.50894883899567e-09,2.4264569849795815e-10,1.562019276201359e-10,6.238412448126722e-11,1.2055301593307838e-11
Cz,2.444048782378845e-09,2.1946212761765915e-10,1.0635861473944957e-10,5.176107477260477e-11,1.1065391232522883e-11
Pz,2.409472603471493e-09,2.409507523099572e-10,3.4954667369411065e-10,4.748355393728355e-11,1.0010293779543783e-11
