,Delta (0.5-4 Hz),Theta (4-8 Hz),Alpha (8-13 Hz),Beta (13-30 Hz),Gamma (30-45 Hz)
Fp1,2.1032085661240218e-09,1.4301870021744093e-10,5.647519066168741e-11,4.7030365034750506e-11,1.1144214650958828e-11
Fp2,2.0714980231287002e-09,1.4123724304025856e-10,5.6304656287684656e-11,5.13781405152363e-11,1.1385660455066717e-11
F3,2.1059135657670167e-09,1.491313693928104e-10,5.778604610870261e-11,6.274933843256166e-11,1.1307229101967658e-11
F4,2.1466994883619363e-09,1.481187756150931e-10,5.891235192177317e-11,7.181541808720698e-11,1.8569108910339848e-11
C3,2.0705176589486174e-09,1.430867005946212e-10,5.050460024646921e-11,5.485430795792669e-11,9.223885815270944e-12
C4,2.0554745751812662e-09,1.4113105005705737e-10,5.0855349841194645e-11,5.266475553621284e-11,9.390485883602655e-12
P3,3.342837515975901e-09,1.7565335098107316e-10,8.617283862588396e-11,6.353850489866128e-11,1.0462251944714112e-11
P4,5.985396307507638e-09,1.8136273853154396e-10,8.980942386285157e-11,6.218114182061729e-11,9.256111536037341e-12
O1,2.1490661990510434e-09,1.6386261217430205e-10,1.6234750787350844e-10,7.537714786843794e-11,1.3300772738371555e-11
O2,3.070529855083253e-09,1.7654731188202647e-10,2.2150199539963764e-10,7.542641921697745e-11,1.1370244974779933e-11
F7,2.153785576350033e-09,1.4825135269094532e-10,7.336544034902168e-11,6.884333113326262e-11,2.4075055249147684e-11
F8,2.1407991227851027e-09,1.4968583673153326e-10,7.51761525362211e-11,7.701109310534987e-11,2.9029753017739417e-11
T3,2.129012497893937e-09,1.4907875825225063e-10,7.442221705579459e-11,6.103751146583145e-11,1.4756798330745505e-11
T4,2.229103083517469e-09,1.5062497155130037e-10,7.140448986327506e-11,6.972493766474007e-11,2.414418334257033e-11
T5,3.62025910465222e-09,2.339053086033697e-10,1.378192425445863e-10,7.340184117431939e-11,1.4168631908037832e-11
T6,7.1740100291921585e-09,1.8700798361215286e-10,1.4985495758624724e-10,7.96015847458358e-11,1.532055708352339e-11
Fz,2.0978454683277026e-09,1.498837726887155e-10,5.6631613280134314e-11,6.298083912840521e-11,9.826463254603984e-12
Cz,3.434007812810015e-09,1.5871136910878285e-10,5.648400797940674e-11,5.2025002096717166e-11,9.180819215646374e-12
Pz,5.074092892290449e-09,1.6490909944334925e-10,7.743197668699507e-11,5.221428406181943e-11,9.735052879140535e-12
