,Delta (0.5–4 Hz),Theta (4–8 Hz),Alpha (8–13 Hz),Beta (13–30 Hz),Gamma (30-45 Hz)
Fp1,2.166593025690052e-09,1.4014574455623083e-10,4.601663531444369e-11,3.587731102917657e-11,1.155995927402149e-11
Fp2,2.1654930166439826e-09,1.4032725797930555e-10,4.4103644649043944e-11,3.537805876165755e-11,1.1983884568510808e-11
F3,2.1587907407655037e-09,1.3976284227707375e-10,4.588838677976679e-11,4.110655041352526e-11,1.8832028910089803e-11
F4,2.211609839495532e-09,1.390578405329365e-10,4.425732388317653e-11,3.768335770920312e-11,1.4406922132150635e-11
C3,2.142583924591627e-09,1.3630940982297663e-10,4.252234063096216e-11,3.126802733117458e-11,8.57775115789357e-12
C4,2.1567176202682056e-09,1.3762534382443686e-10,4.2928771693241895e-11,3.255510878357245e-11,9.556592895572679e-12
P3,2.148465831037817e-09,1.381486805750493e-10,4.430749802042462e-11,3.3303307843777933e-11,9.557028081688396e-12
P4,2.1532278604318594e-09,1.3871037766455875e-10,4.590186158914038e-11,3.5545945932749145e-11,1.1221654166936041e-11
O1,2.168235006011134e-09,1.4078811794566113e-10,5.0097627039300586e-11,3.7102333129728405e-11,1.2416424095067202e-11
O2,2.1556743344787383e-09,1.3990182037137403e-10,5.058062062053858e-11,3.865943382659456e-11,1.3696266290876461e-11
F7,2.189723717648657e-09,1.4553500782593174e-10,5.363008053554167e-11,4.9198696695252076e-11,2.3432102873773747e-11
F8,2.2828319913454316e-09,1.46229192391793e-10,5.01051257267972e-11,4.636407525425235e-11,2.4838688543991356e-11
T3,2.171791391760913e-09,1.4323734099802161e-10,5.141711224721498e-11,4.6017093091736225e-11,2.088105041668373e-11
T4,2.9970996010770717e-09,1.4675923349408445e-10,5.4182428041579914e-11,5.5308844386943735e-11,2.974056771659814e-11
T5,2.178980275949064e-09,1.4151452908276013e-10,5.0531729689269185e-11,3.9690919648199034e-11,1.3868651783944471e-11
T6,2.1606908370870507e-09,1.4168566593863302e-10,5.3467319345668865e-11,4.913621492590221e-11,2.183637079860877e-11
Fz,2.141034322163909e-09,1.3714361663196001e-10,4.213221435515408e-11,3.010385721955919e-11,7.114639452364867e-12
Cz,2.145823896262387e-09,1.3707853652148393e-10,4.2506037392714294e-11,3.036900072883249e-11,6.971414829293008e-12
Pz,2.1476220358001808e-09,1.380372555046819e-10,4.394934289227287e-11,3.251596776856434e-11,9.003645623527004e-12
