,Delta (0.5-4 Hz),Theta (4-8 Hz),Alpha (8-13 Hz),Beta (13-30 Hz),Gamma (30-45 Hz)
Fp1,2.1278654276851935e-09,1.6944949964064962e-10,9.63813727051773e-11,7.266626090961652e-11,2.3371621943865496e-11
Fp2,2.20690749443674e-09,1.7668284664826892e-10,1.0935575635923167e-10,7.840499289579015e-11,1.815458550959804e-11
F3,2.0566925081087955e-09,1.587271349455656e-10,9.061446812901738e-11,6.542047580323318e-11,1.592663033936696e-11
F4,2.064707336089866e-09,1.5798188214126515e-10,8.531128743829129e-11,6.90286792771562e-11,1.5744855847515323e-11
C3,2.0108482709875886e-09,1.2745929856184443e-10,6.064738297498051e-11,4.812198356816397e-11,1.1095180310409027e-11
C4,2.0142009644204777e-09,1.3835005033325867e-10,6.519732443307938e-11,4.824007975650827e-11,9.388837170451105e-12
P3,2.0520799188737806e-09,1.358362665800515e-10,9.585843565627234e-11,5.2022646779679405e-11,1.0583429235106797e-11
P4,2.0584201410710796e-09,1.4945995635090063e-10,1.3368418708765017e-10,5.997377251786532e-11,1.0623703070878982e-11
O1,2.0928633112316916e-09,1.571689774332542e-10,2.519526917514405e-10,7.548419212366262e-11,1.2987365496709772e-11
O2,2.1752655006585428e-09,1.6404311291331935e-10,2.3840097735109667e-10,7.757169500949183e-11,1.2604933804253114e-11
F7,2.0984862431445545e-09,1.7520999645764213e-10,9.629383436765136e-11,7.979963306918643e-11,3.068635012481438e-11
F8,2.1485745224998333e-09,1.7077787633633334e-10,1.0085240878087421e-10,7.205960131558949e-11,1.709384641931392e-11
T3,2.0155328456482827e-09,1.414712042192723e-10,6.734270320526577e-11,5.394142951276003e-11,1.3759460517587535e-11
T4,2.0671529199176513e-09,1.5568993803873807e-10,7.872855075300015e-11,6.849796093691352e-11,3.1429332944525137e-11
T5,2.1277332546935252e-09,1.5817919457491982e-10,2.2778340757276526e-10,7.356479165180243e-11,1.5402694373983688e-11
T6,2.24850002487931e-09,1.6778968822369797e-10,2.9119916731329014e-10,8.833370309853371e-11,2.0254978761254653e-11
Fz,2.0703290981872775e-09,1.738459178228386e-10,9.867372129592045e-11,6.348245233370048e-11,1.2227600398848684e-11
Cz,2.0475203863858947e-09,1.3917687452151568e-10,6.297927153481753e-11,4.800841322432457e-11,1.0369017727054632e-11
Pz,2.0307381461558437e-09,1.4525507230915997e-10,1.0374634996171567e-10,5.0368998250348545e-11,9.163311408906397e-12
