,Delta (0.5-4 Hz),Theta (4-8 Hz),Alpha (8-13 Hz),Beta (13-30 Hz),Gamma (30-45 Hz)
Fp1,3.1963360760218317e-09,2.808424449720223e-10,1.2162837782495838e-10,1.177111629839369e-10,5.0257237602273846e-11
Fp2,3.3354959978951213e-09,2.9646880652196964e-10,1.268030282732197e-10,1.2286857431825405e-10,5.174159606869338e-11
F3,3.075696645437397e-09,2.6660734156593873e-10,1.0946126116093065e-10,1.0545142216534657e-10,4.226746979538383e-11
F4,3.0259879791846534e-09,2.626745523770934e-10,1.0560426968554582e-10,1.0580138377558051e-10,4.204532951151919e-11
C3,3.006030590526883e-09,2.537472801585753e-10,9.960799979725927e-11,9.236732963706295e-11,3.4963354403816584e-11
C4,2.9813282167895516e-09,2.5387796639408646e-10,9.87861247184541e-11,9.115081094639356e-11,3.32276024813143e-11
P3,3.0331038994270407e-09,2.5867835744205885e-10,1.1443772445233325e-10,9.262134066874481e-11,3.3174624102192834e-11
P4,3.0389281199076542e-09,2.6355391035758974e-10,1.2636217873811874e-10,9.712875322574491e-11,3.4228721795876976e-11
O1,3.0631391713088202e-09,2.6568508480443384e-10,1.785337731940911e-10,9.881636648579107e-11,3.396077631295541e-11
O2,3.082575028696285e-09,2.6866764889010135e-10,1.8505532704022254e-10,1.0569186658218687e-10,3.729944792233953e-11
F7,3.0957552623097605e-09,2.7509363826251623e-10,1.1832734304865708e-10,1.2050850619314069e-10,5.693420830196914e-11
F8,3.092870532582927e-09,2.7214958699781023e-10,1.1232150990233366e-10,1.0642894149764614e-10,4.527616540333494e-11
T3,3.0472523800978597e-09,2.7029885051226833e-10,1.1059054095027521e-10,1.028943518391523e-10,4.327998488425927e-11
T4,4.16283977052082e-09,2.773739071210354e-10,1.1378138569055638e-10,1.0847720346160232e-10,4.9858695645319164e-11
T5,3.0977137517075986e-09,2.77629887229342e-10,1.5040339985695963e-10,1.0424282590255481e-10,3.812588701462124e-11
T6,3.0876878237215926e-09,2.7548852127315155e-10,1.7309774369770363e-10,1.0884942716441338e-10,4.1902662852191333e-11
Fz,3.05266461511222e-09,2.686956313582102e-10,1.0927797885882306e-10,9.551008364008578e-11,3.3705376750647535e-11
Cz,3.0332634612196415e-09,2.556007161613654e-10,1.0009887664922788e-10,9.245094576245061e-11,3.3308946861837934e-11
Pz,3.0391439262139594e-09,2.583628026356217e-10,1.1902871529658038e-10,9.47239531875614e-11,3.4150620887445336e-11
